DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1995-09,82.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1995-10,89.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1995-11,91.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1995-12,79.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-01,77.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-02,77.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-03,81.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-04,81.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-05,83.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-06,80.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-07,82.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-08,82.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-09,84.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-10,92.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-11,90.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1996-12,80.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-01,80.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-02,76.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-03,78.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-04,85.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-05,81.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-06,83.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-07,84.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-08,80.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-09,87.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-10,95.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-11,89.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1997-12,84.7,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-01,80.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-02,76.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-03,83.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-04,83.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-05,82.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-06,83.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-07,84.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-08,79.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-09,84.4,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-10,92.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-11,91.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1998-12,86.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-01,77.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-02,75.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-03,88.8,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-04,82.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-05,83.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-06,87.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-07,86.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-08,85.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-09,89.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-10,93.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-11,96.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,1999-12,92.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-01,78.1,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-02,81.3,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-03,90.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-04,83.5,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-05,92.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-06,86.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-07,85.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-08,89.6,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-09,88.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-10,95.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-11,97.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2000-12,87.2,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2001-01,81.9,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2001-02,79.0,
ESTAT:STS_INPR_M(1.0),09/01/25 11:00:00,Monthly,Production (volume),Manufacture of food products and beverages,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100",Germany,2001-03,87.8,
